Filename,Normalized integer,Normalized floating,Normalized control,Cycles,Normalized time avg,Ratio Memory,Ratio branches,Ratio call,Phase
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-225,200.05623,0.870942,48.917664,38345348,1.711181641,0.423681147,8.333298227,0.043375497,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-226,200.940438,0.874812,49.13427,38513882,1.716552734,0.423681176,8.3330108,0.043372701,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-227,201.82206,0.878682,49.350468,38682402,1.723632813,0.423678256,8.332638167,0.043370166,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-228,202.698228,0.88245,49.564818,38849629,1.730957031,0.423676462,8.332490177,0.043369028,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-229,203.575638,0.88623,49.779288,39017287,1.736572266,0.423674216,8.332386958,0.043370448,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-23,22.04364,0.096018,5.391084,4318132,0.424316406,0.423838689,8.382488383,0.043507391,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-230,204.449982,0.890016,49.9932,39184112,1.743652344,0.423671203,8.332274536,0.043372819,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-231,205.325976,0.893802,50.207196,39351274,1.747802734,0.423669079,8.332168281,0.043374619,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-232,206.203992,0.897582,50.421924,39518913,1.755615234,0.423667147,8.33216732,0.043375536,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-233,207.081318,0.901398,50.636412,39685770,1.761962891,0.423663353,8.331926074,0.043377718,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-234,207.961344,0.905184,50.851536,39853014,1.767578125,0.423660809,8.331813863,0.043379103,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-235,208.84017,0.90897,51.066288,40021502,1.774169922,0.423664166,8.331788095,0.043379734,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-236,209.732928,0.912906,51.284814,40191738,1.781005859,0.42366512,8.331990803,0.043377987,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-237,210.626976,0.916842,51.503724,40362188,1.787353516,0.423667998,8.332129485,0.043376281,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-238,211.527996,0.920826,51.724158,40534496,1.793701172,0.423673627,8.332309604,0.043373427,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-239,212.418498,0.924732,51.942108,40705384,1.800292969,0.42367526,8.332484568,0.04337221,1
